date,actual,model,baseline_last_month,baseline_seasonal
2020-01-31,2.599767976845202,1.6291468907282076,2.3195274699624457,1.4875893578291333
2020-02-29,2.3413166797595197,1.6761958584928502,2.599767976845202,1.5188615351321877
2020-03-31,1.4940399642909163,1.6780188567982295,2.3413166797595197,1.8831863513063984
2020-04-30,0.3130472940411133,2.2719879656622592,1.4940399642909163,2.000583470209061
2020-05-31,0.1982013035848551,2.143602050505987,0.3130472940411133,1.7959105553606136
2020-06-30,0.7166562831830481,1.6734613610347813,0.1982013035848551,1.671194894390049
2020-07-31,0.9968647625897997,1.5405179501150608,0.7166562831830481,1.826331335037068
2020-08-31,1.2810698495523853,1.531402958588164,0.9968647625897997,1.7376412106666406
2020-09-30,1.3910228912373812,1.5222879670612675,1.2810698495523853,1.6844977040391562
2020-10-31,1.2303863428671624,1.5222879670612675,1.3910228912373812,1.7339736996186295
2020-11-30,1.1757452138405844,1.5268454628247157,1.2303863428671624,2.092290394862917
2020-12-31,1.3204191315779434,1.6264123932701386,1.1757452138405844,2.3195274699624457
2021-01-31,1.3553199782346148,1.5350489551989228,1.3204191315779434,2.599767976845202
2021-02-28,1.667502410800381,1.8027587753437433,1.3553199782346148,2.3413166797595197
2021-03-31,2.623645747764214,2.0215966294185423,1.667502410800381,1.4940399642909163
2021-04-30,4.137373453318349,2.0531501115874606,2.623645747764214,0.3130472940411133
2021-05-31,4.9264665639830785,1.6588773745917464,4.137373453318349,0.1982013035848551
2021-06-30,5.317418943207719,2.305364446136557,4.9264665639830785,0.7166562831830481
2021-07-31,5.269167647240969,1.7808827956791913,5.317418943207719,0.9968647625897997
2021-08-31,5.181323173271246,1.8215512693750062,5.269167647240969,1.2810698495523853
2021-09-30,5.363523425270289,1.7320108296091694,5.181323173271246,1.3910228912373812
2021-10-31,6.226591220771449,1.689519357607975,5.363523425270289,1.2303863428671624
2021-11-30,6.865559520296194,2.173332534369526,6.226591220771449,1.1757452138405844
2021-12-31,7.159457345112474,2.0495041149767017,6.865559520296194,1.3204191315779434
2022-01-31,7.578082463000535,1.749329313510273,7.159457345112474,1.3553199782346148
2022-02-28,7.949220898953979,1.749329313510273,7.578082463000535,1.667502410800381
2022-03-31,8.540780148538584,2.449245846888554,7.949220898953979,2.623645747764214
2022-04-30,8.235161744022502,5.61219374620594,8.540780148538584,4.137373453318349
2022-05-31,8.530051713089225,2.267430469898811,8.235161744022502,4.9264665639830785
2022-06-30,8.999298141923106,3.1706893717561657,8.530051713089225,5.317418943207719
2022-07-31,8.447778206754553,4.263967142977471,8.999298141923106,5.269167647240969
2022-08-31,8.216255059541266,2.787354624592728,8.447778206754553,5.181323173271246
2022-09-30,8.205751582451759,2.2665189707461213,8.216255059541266,5.363523425270289
2022-10-31,7.757261470809462,2.1363100572844695,8.205751582451759,6.226591220771449
2022-11-30,7.131380368978291,2.2665189707461213,7.757261470809462,6.865559520296194
2022-12-31,6.410831677385809,1.9699901658904513,7.131380368978291,7.159457345112474
2023-01-31,6.340296309929161,1.9366136854161538,6.410831677385809,7.578082463000535
2023-02-28,5.957648712766894,1.9411711811796022,6.340296309929161,7.949220898953979
2023-03-31,4.931348641757127,1.8109622677179504,5.957648712766894,8.540780148538584
2023-04-30,4.946947488062325,1.8027587753437433,4.931348641757127,8.235161744022502
2023-05-31,4.125314539356473,1.932967688805395,4.946947488062325,8.530051713089225
2023-06-30,3.0592533347792994,1.7963782812749156,4.125314539356473,8.999298141923106
2023-07-31,3.28032820234625,1.798201279580295,3.0592533347792994,8.447778206754553
2023-08-31,3.7186358677607556,1.9745476616538997,3.28032820234625,8.216255059541266
2023-09-30,3.6950823322234427,1.9663441692796926,3.7186358677607556,8.205751582451759
2023-10-31,3.2465375076767167,1.968167167585072,3.6950823322234427,7.757261470809462
2023-11-30,3.139855644977696,1.8434272490395582,3.2465375076767167,7.131380368978291
2023-12-31,3.322200208829762,1.849807743108386,3.139855644977696,6.410831677385809
2024-01-31,3.1079425939238847,1.81187376687064,3.322200208829762,6.340296309929161
2024-02-29,3.16642120765831,1.7259793237155618,3.1079425939238847,5.957648712766894
2024-03-31,3.4690014354717524,1.7287138211736308,3.16642120765831,4.931348641757127
2024-04-30,3.3540471111874304,1.806404771954502,3.4690014354717524,4.946947488062325
2024-05-31,3.238866396761142,1.938436683721533,3.3540471111874304,4.125314539356473
2024-06-30,2.9700853998204435,1.7223333271048031,3.238866396761142,3.0592533347792994
2024-07-31,2.9384633061405374,1.7195988296467342,2.9700853998204435,3.28032820234625
2024-08-31,2.6109140322338353,1.7639132999533078,2.9384633061405374,3.7186358677607556
2024-09-30,2.432541464144644,1.7132183355779065,2.6109140322338353,3.6950823322234427
2024-10-31,2.5714034967967203,1.760267303342549,2.432541464144644,3.2465375076767167
2024-11-30,2.7141684004842848,1.7214218279521134,2.5714034967967203,3.139855644977696
2024-12-31,2.872366268806581,1.7268908228682516,2.7141684004842848,3.322200208829762
2025-01-31,2.999412512831112,1.6409963797131732,2.872366268806581,3.1079425939238847
2025-02-28,2.8142703731568686,1.6871338483251264,2.999412512831112,3.16642120765831
2025-03-31,2.4055852640280317,1.7305368194790103,2.8142703731568686,3.4690014354717524
2025-04-30,2.3337465177498906,1.7675592965640665,2.4055852640280317,3.3540471111874304
2025-05-31,2.3759340869898393,1.768470795716756,2.3337465177498906,3.238866396761142
2025-06-30,2.6726833178446263,1.803670274496433,2.3759340869898393,2.9700853998204435
