date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,CPI_YoY_future_3m
2011-01-31,-7.049280118476896,-4.727330002942528,-1.6891332931576157,0.2396829733203519,-1.1076612095480138,1.2201224263422041,-1.002518755805078,-0.2607373845166676,0.26099034765339707,-0.3201573091924996,1.5652868651702543,0.5521381776337146,-0.09094936425431939,0.9513482429029075,1.1319986818748067,1.2831336903601624,-0.049524337810855384,0.9582441473327944,0.19226333695614906,-0.5064011517868519,-0.5280567753817819,0.6277079675784422,0.03828840441344529,0.24321406208345667,3.0772344447868694
2011-02-28,-6.555761176240348,-4.95946080910176,-1.306271703321404,0.9439588342885331,-0.867879573350269,1.2888975249467287,-1.1327357942181773,-0.49440313903917193,1.3423187484869166,-0.7223497770052364,1.7302214357665104,0.3228507827914649,0.23104299585615332,1.1146847130737403,0.7314841700595105,1.1555865332881707,-0.14905611848313408,0.8532305380080913,0.37771862613978774,0.09410292395212656,0.30341290977568874,1.0736791101054595,-0.32692143016397135,0.0933002735677016,3.4589718808964998
2011-03-31,-6.918255373305055,-5.18310800292082,-0.44564898309524725,1.0876932721678592,-0.123608368391127,1.1492750538719931,-1.5100221206105682,-1.5081267496717339,1.6125863354946453,-1.429086779543694,1.362017659760393,0.5172263874325261,0.6228691237223557,0.2074972663229058,-0.388117492088892,0.6563205355012164,-0.05119468666567505,0.5496608366939414,0.23070978450718613,0.2520721460682564,0.24608592119227396,-0.09556030350264215,-0.050574244196972255,-0.18895022013046098,3.5023181506360412
2011-04-30,-6.670460533244205,-5.0156204992138615,-0.3092165965105498,0.7928718068253948,0.8794583467472582,0.7500363283111281,-1.7163815775091917,-1.2763965240006616,1.5458622737476828,-1.2393246991796605,1.41264854947525,0.5280684121671166,-0.15668891900357224,0.2137482723751262,-0.857286915555777,0.5454574132366758,0.6983455370809274,-0.850419926228345,0.6119859469626315,0.015901957180561328,0.15910778674997686,-0.22442751583385753,-0.33798787162748783,-0.23373506736846836,3.5798809769996165
2011-05-31,-6.986198486389104,-4.842800281157418,-0.2779421002874012,0.12765877906455547,0.8997933944629855,1.214882971063532,-2.1325913209642526,-0.1539270129441209,1.0240069813140258,-1.424004586136917,0.9122597334490473,-0.1903566644519472,0.5358346168094239,-0.18858896301251632,-0.43736189521429214,0.2639943880216368,0.5882594892201709,-1.0486693761121626,1.004941145330901,-1.0065119633301944,0.3799541780253792,0.21274093685847115,-0.02459824887128127,-0.4024273516770135,3.75499603070808
2011-06-30,-8.264426462672754,-4.6314578589277975,-0.638355602300852,-0.8503616291693151,-0.4924546524197803,1.3743917873298173,-1.6857419425085685,0.15308175457272444,-1.3040446259371223,-1.0383215687569318,0.17389222106312438,-1.0772861844926591,0.6593177386423952,0.47938775276971374,-0.6648193816538975,-0.06565503873777444,0.1062817781238704,-0.2546250492659415,1.038762652644127,-0.6234776563609663,0.3586355265767611,0.08182089409461868,0.0907206897121275,-0.5342601028074002,3.812621692818685
2011-07-31,-7.939252453429409,-4.677900165924507,-1.087133132640833,-1.0861467817690207,-0.5172373311607686,0.3720459596988716,-1.3664137679012396,0.2486797759556874,-1.581106154242493,-1.5110876962130397,-0.7804836117117047,-0.9461008208473995,0.016923774179020808,0.4869087992295426,-0.07279682377806747,0.24561411681090817,-0.483193138498144,0.04904169834674836,0.48277013077928005,-0.567542008966806,-0.09937098654757393,0.03786251705838264,-0.7519852528321607,0.011353627510856645,3.5222681306640524
2011-08-31,-7.90738663939732,-5.050329329026676,-1.405866152215239,-1.2049637870971552,-0.3602712551245174,0.3323717628954364,-0.31173473102671606,0.08720640453928888,-0.3634536282545416,-0.9513944489536403,-0.6007721089758477,-0.07671720977200235,0.12350019870425018,0.38907644529619506,0.17049477865006735,0.563467345645935,-0.4897097222555695,-1.0498990707687348,0.2482439625068464,-0.47384961238522094,-0.7356612542236554,-0.4053691013699417,-0.795685284613044,0.004919875216995804,3.451432214581729
2011-09-30,-7.952728134972099,-5.248807709599344,-1.6226927142584593,-1.5278262155047853,-0.6702611667784014,0.35953525010658416,0.130274867455297,-0.2130588444103144,-0.6043138010627651,-0.40649770282270564,-0.5274184735963486,0.09316352889384825,0.3655342738844446,0.7216740952883207,-0.13623364793041834,-0.11016458591075241,0.7245052137743874,-1.60942832563279,0.1877962442297711,-0.01811879870990154,-0.8413205517051129,-0.3485920056763457,-0.5524612629350939,-0.03501502844919075,3.062066838419386
2011-10-31,-7.729436394247005,-5.3657307888561485,-1.661835619738994,-1.2766546395727358,-0.621285121772586,0.3614063062849128,0.7505988742111936,0.15894443328893848,-0.8056987211046135,0.07904380115698173,-0.09775244317203936,-0.7247895746400088,-0.3467607483671043,0.8633456492827335,-0.5029166862046849,-0.7500324775283113,0.9143386577603293,-0.8758538214167865,-0.0268149518204323,-0.09769144374688775,-0.40906583530935686,-0.5233733861926358,-0.7275333102418512,-0.35160602345958775,3.0087663379855023
